id,doc_name,chapter_num,chapter_name,link
65,Национальный план,4.б,запрет приобретения государством акций хозяйственных обществ,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4b
66,Национальный план,4.в,возможность Правительства Российской Федерации,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4v
67,Национальный план,4.г,реформирование правового регулирования деятельности,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4g
68,Национальный план,4.д,поэтапное прекращение государственного тарифного регулирования,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4d
69,Национальный план,4.е,закрепление прав совета потребителей,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4e
70,Национальный план,4.ж,правовое регулирование системы внутреннего обеспечения,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4j
71,Национальный план,4.з,определение основ государственного регулирования,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4z
72,Национальный план,4.и,закрепление единого порядка досудебного рассмотрения,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#cha4i
73,Приложение к Национальному плану,1,Здравоохранение,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap1
74,Приложение к Национальному плану,2,Рынок социальных услуг,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap2
75,Приложение к Национальному плану,3,Агропромышленный комплекс,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap3
76,Приложение к Национальному плану,4,Дорожное строительство,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap4
77,Приложение к Национальному плану,5,Телекоммуникации,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap5
78,Приложение к Национальному плану,6,Информационные технологии,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap6
79,Приложение к Национальному плану,7,Жилищно-коммунальное хозяйство,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap7
80,Приложение к Национальному плану,8,Газоснабжение,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap8
81,Приложение к Национальному плану,9,Нефть и нефтепродукты,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap9
82,Приложение к Национальному плану,10,Сфера естественных монополий,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap10
83,Приложение к Национальному плану,11,Транспортные услуги,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap11
84,Приложение к Национальному плану,12,Промышленность,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#chap12
